order,agent,episodes,avg_reward,avg_sequence_reward,avg_format_reward
baked_bell_pepper,Chef,10,0.033671729187256444,0.8336717291872565,-0.6666666666666666
baked_bell_pepper,Assistant,10,0.8486537771580412,0.9486537771580412,
baked_bell_pepper_soup,Chef,10,-3.9229156257454854,0.5370843742545149,-1.3714285714285717
baked_bell_pepper_soup,Assistant,10,-1.5552889298736086,0.5647110701263915,-0.7000000000000001
baked_carrot_soup,Chef,10,-1.2236488499186526,0.6913511500813475,-1.0999999999999999
baked_carrot_soup,Assistant,10,-0.342236201313214,0.772763798686786,-1.2
baked_mushroom_soup,Chef,10,-3.3418481204481374,0.638151879551863,-0.7250000000000001
baked_mushroom_soup,Assistant,10,-2.185137502528044,0.6648624974719561,-1.5
baked_potato_slices,Chef,10,-0.45771976447980933,0.7422802355201907,-0.6666666666666666
baked_potato_slices,Assistant,10,-0.46438940190162875,0.6656105980983712,-0.8
baked_potato_soup,Chef,10,-2.4681265979252,0.6668734020748005,-0.942857142857143
baked_potato_soup,Assistant,10,-0.37240718542652745,0.7425928145734725,-0.8000000000000002
baked_pumpkin_slices,Chef,10,-1.773596734904793,0.6064032650952071,-0.56
baked_pumpkin_slices,Assistant,10,-0.05534076118308552,0.6946592388169146,-0.5000000000000001
baked_pumpkin_soup,Chef,10,-4.709454349827242,0.5755456501727578,-0.9333333333333332
baked_pumpkin_soup,Assistant,10,-1.1257403521534912,0.7292596478465088,-0.6333333333333334
baked_sweet_potato,Chef,10,0.22304218250793598,0.753042182507936,-0.9
baked_sweet_potato,Assistant,10,1.0808284652150824,0.9808284652150823,
boiled_corn_slices,Chef,10,-0.5712510492873242,0.7137489507126759,-0.65
boiled_corn_slices,Assistant,10,-0.11330187220279328,0.7316981277972067,-0.6000000000000001
boiled_egg,Chef,10,-0.5329422942938581,0.7970577057061419,-0.6000000000000001
boiled_egg,Assistant,10,0.75,1.0,
boiled_green_bean_slices,Chef,10,-1.1395192622617247,0.6304807377382751,-0.6000000000000001
boiled_green_bean_slices,Assistant,10,-0.5289110732368942,0.7010889267631057,-0.6000000000000001
boiled_mushroom,Chef,10,-0.2508883827259227,0.7891116172740774,-0.8000000000000002
boiled_mushroom,Assistant,10,0.8608284652150824,0.9808284652150823,-0.6000000000000001
boiled_potato_slices,Chef,10,-0.08549306782017078,0.7945069321798293,-0.6000000000000001
boiled_potato_slices,Assistant,10,0.2464187705032021,0.7064187705032021,-0.6000000000000001
boiled_sweet_potato,Chef,10,0.7180737827021102,0.8180737827021103,
boiled_sweet_potato,Assistant,10,0.7508284652150823,0.9808284652150823,-0.6000000000000001
mashed_broccoli_and_bean_patty,Chef,10,-8.77119487242995,0.43380512757005035,-1.7555555555555558
mashed_broccoli_and_bean_patty,Assistant,10,-11.39582205675742,0.5491779432425792,-1.15
mashed_carrot_and_chickpea_patty,Chef,10,-9.179859448918466,0.3651405510815348,-0.8666666666666667
mashed_carrot_and_chickpea_patty,Assistant,10,-8.947918215738495,0.4970817842615041,-0.65
mashed_cauliflower_and_lentil_patty,Chef,10,-4.594283786413708,0.5057162135862916,-0.75
mashed_cauliflower_and_lentil_patty,Assistant,10,-12.693750975870532,0.4462490241294684,-0.8222222222222223
mashed_potato_and_pea_patty,Chef,10,-7.1538028719265565,0.4561971280734428,-0.8444444444444444
mashed_potato_and_pea_patty,Assistant,10,-15.029391781369725,0.5206082186302761,-1.2857142857142858
mashed_sweet_potato_and_bean_patty,Chef,10,-8.616718895006263,0.41828110499373566,-1.0666666666666667
mashed_sweet_potato_and_bean_patty,Assistant,10,-12.485951520449206,0.5590484795507944,-1.4000000000000001
potato_carrot_and_onion_patty,Chef,10,-13.816980460575326,0.32301953942467343,-3.840000000000001
potato_carrot_and_onion_patty,Assistant,10,-8.574851432844634,0.3851485671553658,-1.1
romaine_lettuce_pea_and_tomato_patty,Chef,10,-10.709612506963222,0.4053874930367799,-2.64
romaine_lettuce_pea_and_tomato_patty,Assistant,10,-7.128016609425876,0.41698339057412326,-0.9
sliced_bell_pepper_and_corn_stew,Chef,10,-4.620286878846431,0.43971312115356886,-1.5142857142857142
sliced_bell_pepper_and_corn_stew,Assistant,10,-2.7467781730796785,0.6632218269203213,-0.8250000000000001
sliced_bell_pepper_and_lentil_stew,Chef,10,-2.771484607857392,0.5285153921426082,-0.8333333333333334
sliced_bell_pepper_and_lentil_stew,Assistant,10,-4.305149327364441,0.5648506726355594,-1.24
sliced_eggplant_and_chickpea_stew,Chef,10,-2.412002786632999,0.5379972133670008,-0.3333333333333333
sliced_eggplant_and_chickpea_stew,Assistant,10,-2.572266181271594,0.4677338187284059,-0.8000000000000002
sliced_pumpkin_and_chickpea_stew,Chef,10,-3.546269239755251,0.3887307602447493,-0.8250000000000001
sliced_pumpkin_and_chickpea_stew,Assistant,10,-3.599206261460784,0.6057937385392159,-0.76
sliced_zucchini_and_chickpea_stew,Chef,10,-3.1981397902742996,0.5218602097257002,-0.8666666666666667
sliced_zucchini_and_chickpea_stew,Assistant,10,-1.7438297510039535,0.6161702489960466,-0.9
sweet_potato_spinach_and_mushroom_patty,Chef,10,-10.98812638857277,0.3518736114272301,-2.0500000000000003
sweet_potato_spinach_and_mushroom_patty,Assistant,10,-13.173381418144473,0.31661858185552877,-1.05
taro_bean_and_bell_pepper_patty,Chef,10,-13.080333835727007,0.3246661642729925,-2.3800000000000003
taro_bean_and_bell_pepper_patty,Assistant,10,-12.469396834239301,0.34560316576069794,-1.64
zucchini_green_pea_and_onion_patty,Chef,10,-16.544661183872783,0.3603388161272164,-3.4800000000000004
zucchini_green_pea_and_onion_patty,Assistant,10,-11.737797517538343,0.34720248246165647,-1.075
