step,epoch,learning_rate,loss,eval_loss
10,0.40816326530612246,4.862068965517241e-05,2.1408,
20,0.8163265306122449,4.5172413793103454e-05,1.9017,
30,1.2040816326530612,4.172413793103448e-05,1.7489,
40,1.6122448979591837,3.827586206896552e-05,1.5777,
50,2.0,3.482758620689655e-05,1.3763,
60,2.4081632653061225,3.137931034482759e-05,1.1147,
70,2.816326530612245,2.7931034482758622e-05,0.7887,
80,3.204081632653061,2.4482758620689654e-05,0.493,
90,3.612244897959184,2.1034482758620692e-05,0.3091,
100,4.0,1.7586206896551724e-05,0.1938,
110,4.408163265306122,1.4137931034482759e-05,0.1513,
120,4.816326530612245,1.0689655172413794e-05,0.1369,
130,5.204081632653061,7.241379310344828e-06,0.1241,
140,5.612244897959184,3.793103448275862e-06,0.122,
150,6.0,3.4482758620689656e-07,0.1198,
150,6.0,,,
