step,epoch,learning_rate,loss,eval_loss
10,0.3508771929824561,4.910714285714286e-05,2.0798,
20,0.7017543859649122,4.613095238095239e-05,1.8494,
30,1.0350877192982457,4.315476190476191e-05,1.6968,
40,1.3859649122807016,4.017857142857143e-05,1.5439,
50,1.736842105263158,3.7202380952380956e-05,1.3503,
60,2.0701754385964914,3.422619047619048e-05,1.0861,
70,2.4210526315789473,3.125e-05,0.7586,
80,2.7719298245614032,2.8273809523809523e-05,0.4699,
90,3.1052631578947367,2.529761904761905e-05,0.2812,
100,3.456140350877193,2.2321428571428575e-05,0.1752,
110,3.807017543859649,1.9345238095238097e-05,0.131,
120,4.140350877192983,1.636904761904762e-05,0.1173,
130,4.491228070175438,1.3392857142857144e-05,0.1061,
140,4.842105263157895,1.0416666666666668e-05,0.0982,
150,5.175438596491228,7.4404761904761905e-06,0.0952,
160,5.526315789473684,4.464285714285715e-06,0.0936,
170,5.87719298245614,1.4880952380952381e-06,0.0929,
174,6.0,,,
